"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0001775","cell activation","BP",1000,3,0,0.890895352063506,1
"GO:0002252","immune effector process","BP",834,1,1,0.987642398858221,0.657617124000886
"GO:0002263","cell activation involved in immune response","BP",516,0,0,1,1
"GO:0002274","myeloid leukocyte activation","BP",481,1,0,0.91636507818956,1
"GO:0002275","myeloid cell activation involved in immune response","BP",404,0,0,1,1
"GO:0002283","neutrophil activation involved in immune response","BP",363,0,0,1,1
"GO:0002366","leukocyte activation involved in immune response","BP",513,0,0,1,1
"GO:0002376","immune system process","BP",1975,9,1,0.682420263010475,0.934852247482128
"GO:0002443","leukocyte mediated immunity","BP",585,0,0,1,1
"GO:0002444","myeloid leukocyte mediated immunity","BP",410,0,0,1,1
"GO:0002446","neutrophil mediated immunity","BP",371,0,0,1,1
"GO:0002576","platelet degranulation","BP",105,1,0,0.411455097626621,1
"GO:0006810","transport","BP",2881,15,3,0.482700526222371,0.737533702014224
"GO:0006887","exocytosis","BP",630,1,0,0.962316563745311,1
"GO:0006955","immune response","BP",1375,7,1,0.544401435991433,0.839180010262164
"GO:0008150","biological_process","BP",7714,38,10,0.698175105625588,0.524139095182496
"GO:0009987","cellular process","BP",7486,36,8,0.791087832404605,0.903797344701529
"GO:0016192","vesicle-mediated transport","BP",1232,3,1,0.956810666931654,0.802621607471604
"GO:0032940","secretion by cell","BP",1027,4,2,0.772111750886359,0.363247149706528
"GO:0036230","granulocyte activation","BP",376,0,0,1,1
"GO:0042119","neutrophil activation","BP",371,0,0,1,1
"GO:0043299","leukocyte degranulation","BP",399,0,0,1,1
"GO:0043312","neutrophil degranulation","BP",360,0,0,1,1
"GO:0045055","regulated exocytosis","BP",576,1,0,0.949610242103895,1
"GO:0045321","leukocyte activation","BP",882,3,0,0.83188221213568,1
"GO:0046903","secretion","BP",1122,4,2,0.830341121991601,0.407447049295333
"GO:0050896","response to stimulus","BP",5004,25,8,0.568165607231379,0.203569752725254
"GO:0051179","localization","BP",3601,20,3,0.32419809228856,0.882087043501367
"GO:0051234","establishment of localization","BP",2937,16,3,0.393518506466809,0.751682308411215
"GO:0051641","cellular localization","BP",1919,8,1,0.77451788809443,0.92889141819875
"GO:0051649","establishment of localization in cell","BP",1626,6,1,0.848485508642548,0.888808196436043
"GO:0140352","export from cell","BP",1060,4,2,0.793847046027995,0.378696842179425
"GO:0006805","xenobiotic metabolic process","BP",91,0,0,1,1
"GO:0008152","metabolic process","BP",5696,28,7,0.628419695812537,0.625156445348098
"GO:0009410","response to xenobiotic stimulus","BP",232,2,1,0.324313020482412,0.250107327665091
"GO:0042221","response to chemical","BP",2996,17,5,0.312613792351365,0.28890433273671
"GO:0044237","cellular metabolic process","BP",5336,27,6,0.529869547814115,0.739486481389663
"GO:0051716","cellular response to stimulus","BP",4144,21,6,0.527998446607326,0.395587006882934
"GO:0070887","cellular response to chemical stimulus","BP",2298,12,4,0.48956570324952,0.302362012456159
"GO:0071466","cellular response to xenobiotic stimulus","BP",137,0,1,1,0.155536506398008
"GO:0000003","reproduction","BP",876,6,2,0.271785313864659,0.291827837685458
"GO:0000302","response to reactive oxygen species","BP",187,1,0,0.612668097022158,1
"GO:0001666","response to hypoxia","BP",287,3,1,0.172834384486661,0.300352276280561
"GO:0001701","in utero embryonic development","BP",234,2,0,0.328013633585871,1
"GO:0001776","leukocyte homeostasis","BP",63,0,0,1,1
"GO:0001782","B cell homeostasis","BP",19,0,0,1,1
"GO:0001783","B cell apoptotic process","BP",18,0,0,1,1
"GO:0001821","histamine secretion","BP",11,0,0,1,1
"GO:0001824","blastocyst development","BP",50,1,0,0.222483870956394,1
"GO:0001825","blastocyst formation","BP",23,0,0,1,1
"GO:0001829","trophectodermal cell differentiation","BP",13,0,0,1,1
"GO:0001889","liver development","BP",108,0,0,1,1
"GO:0001890","placenta development","BP",118,1,0,0.449082556001765,1
"GO:0001973","G protein-coupled adenosine receptor signaling pathway","BP",11,0,0,1,1
"GO:0002027","regulation of heart rate","BP",82,1,0,0.338634844017197,1
"GO:0002250","adaptive immune response","BP",319,0,0,1,1
"GO:0002253","activation of immune response","BP",351,1,0,0.834215882509334,1
"GO:0002260","lymphocyte homeostasis","BP",44,0,0,1,1
"GO:0002285","lymphocyte activation involved in immune response","BP",125,0,0,1,1
"GO:0002312","B cell activation involved in immune response","BP",50,0,0,1,1
"GO:0002313","mature B cell differentiation involved in immune response","BP",13,0,0,1,1
"GO:0002314","germinal center B cell differentiation","BP",2,0,0,1,1
"GO:0002335","mature B cell differentiation","BP",16,0,0,1,1
"GO:0002429","immune response-activating cell surface receptor signaling pathway","BP",285,1,0,0.766280683362995,1
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",206,0,0,1,1
"GO:0002467","germinal center formation","BP",11,0,0,1,1
"GO:0002520","immune system development","BP",701,2,0,0.876220496558422,1
"GO:0002521","leukocyte differentiation","BP",381,2,0,0.574586849717256,1
"GO:0002634","regulation of germinal center formation","BP",7,0,0,1,1
"GO:0002636","positive regulation of germinal center formation","BP",2,0,0,1,1
"GO:0002682","regulation of immune system process","BP",1032,6,1,0.414946207058071,0.738781573111032
"GO:0002683","negative regulation of immune system process","BP",294,0,0,1,1
"GO:0002684","positive regulation of immune system process","BP",699,2,1,0.875172471296322,0.589790660617454
"GO:0002685","regulation of leukocyte migration","BP",146,2,0,0.165596750132066,1
"GO:0002686","negative regulation of leukocyte migration","BP",30,0,0,1,1
"GO:0002694","regulation of leukocyte activation","BP",368,1,0,0.848315924567135,1
"GO:0002696","positive regulation of leukocyte activation","BP",242,1,0,0.708082350313579,1
"GO:0002757","immune response-activating signal transduction","BP",285,1,0,0.766280683362995,1
"GO:0002764","immune response-regulating signaling pathway","BP",315,1,0,0.799995638373966,1
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","BP",313,1,0,0.797904285958891,1
"GO:0002819","regulation of adaptive immune response","BP",116,0,0,1,1
"GO:0002821","positive regulation of adaptive immune response","BP",75,0,0,1,1
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",105,0,0,1,1
"GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP",73,0,0,1,1
"GO:0002901","mature B cell apoptotic process","BP",4,0,0,1,1
"GO:0002902","regulation of B cell apoptotic process","BP",13,0,0,1,1
"GO:0002903","negative regulation of B cell apoptotic process","BP",8,0,0,1,1
"GO:0002905","regulation of mature B cell apoptotic process","BP",4,0,0,1,1
"GO:0002906","negative regulation of mature B cell apoptotic process","BP",4,0,0,1,1
"GO:0003006","developmental process involved in reproduction","BP",564,5,1,0.149416893292248,0.50996153903201
"GO:0003008","system process","BP",1244,8,4,0.278888645093364,0.0539058086320744
"GO:0003012","muscle system process","BP",354,2,1,0.534131356786599,0.357416251598261
"GO:0003013","circulatory system process","BP",442,3,2,0.38227367884701,0.0989558328193477
"GO:0003015","heart process","BP",231,2,0,0.322461020947801,1
"GO:0006139","nucleobase-containing compound metabolic process","BP",2891,16,5,0.365222931408657,0.260182519060081
"GO:0006144","purine nucleobase metabolic process","BP",17,0,0,1,1
"GO:0006152","purine nucleoside catabolic process","BP",4,0,0,1,1
"GO:0006154","adenosine catabolic process","BP",1,0,0,1,1
"GO:0006157","deoxyadenosine catabolic process","BP",1,0,0,1,1
"GO:0006163","purine nucleotide metabolic process","BP",279,1,0,0.758899796934232,1
"GO:0006164","purine nucleotide biosynthetic process","BP",132,1,0,0.486974325077419,1
"GO:0006195","purine nucleotide catabolic process","BP",29,0,0,1,1
"GO:0006725","cellular aromatic compound metabolic process","BP",3036,16,5,0.455627772374335,0.300124633426911
"GO:0006753","nucleoside phosphate metabolic process","BP",333,1,0,0.817890050055276,1
"GO:0006793","phosphorus metabolic process","BP",2026,13,2,0.196930555354748,0.747160838577708
"GO:0006796","phosphate-containing compound metabolic process","BP",2014,13,2,0.1908244633893,0.743821725173248
"GO:0006807","nitrogen compound metabolic process","BP",4952,23,7,0.75520682869354,0.399579123260115
"GO:0006811","ion transport","BP",1011,6,3,0.39530916021195,0.117825680376268
"GO:0006812","cation transport","BP",710,4,3,0.480270106298873,0.0501703907456782
"GO:0006836","neurotransmitter transport","BP",193,1,0,0.624403224400814,1
"GO:0006915","apoptotic process","BP",1256,9,5,0.168275225143968,0.0117514810990202
"GO:0006928","movement of cell or subcellular component","BP",1298,8,1,0.320529802499619,0.820341782995271
"GO:0006936","muscle contraction","BP",284,2,1,0.418362177970429,0.297692634485925
"GO:0006937","regulation of muscle contraction","BP",134,0,0,1,1
"GO:0006939","smooth muscle contraction","BP",88,2,1,0.0715623159113913,0.102633042139386
"GO:0006940","regulation of smooth muscle contraction","BP",50,0,0,1,1
"GO:0006950","response to stress","BP",2499,14,5,0.362781562087702,0.164475474375474
"GO:0006952","defense response","BP",1075,7,2,0.288721238118638,0.385688193787804
"GO:0006954","inflammatory response","BP",511,3,0,0.475543954554775,1
"GO:0006979","response to oxidative stress","BP",337,4,1,0.0870417075529673,0.343352760048787
"GO:0007154","cell communication","BP",3705,20,6,0.383560472878989,0.274019861349236
"GO:0007155","cell adhesion","BP",928,3,0,0.857472643491084,1
"GO:0007159","leukocyte cell-cell adhesion","BP",250,2,0,0.357425697251796,1
"GO:0007165","signal transduction","BP",3387,17,6,0.551091779795137,0.197821238610693
"GO:0007166","cell surface receptor signaling pathway","BP",1978,10,1,0.544544357522546,0.935158366282901
"GO:0007186","G protein-coupled receptor signaling pathway","BP",668,4,4,0.432499071573893,0.00653955165855846
"GO:0007275","multicellular organism development","BP",3166,15,4,0.658834474371008,0.580749893346185
"GO:0007568","aging","BP",251,2,0,0.359250871139117,1
"GO:0007584","response to nutrient","BP",189,3,0,0.0682623469447738,1
"GO:0007589","body fluid secretion","BP",77,1,1,0.321675710794049,0.0903502654545192
"GO:0007610","behavior","BP",409,7,3,0.00389145996361332,0.0117437508428182
"GO:0007618","mating","BP",34,0,1,1,0.0408551700913343
"GO:0007620","copulation","BP",19,0,1,1,0.0230216748419715
"GO:0007622","rhythmic behavior","BP",40,1,0,0.182257678773747,1
"GO:0007623","circadian rhythm","BP",162,4,0,0.0085321474439411,1
"GO:0008015","blood circulation","BP",436,3,2,0.37397829009109,0.0966699407377192
"GO:0008016","regulation of heart contraction","BP",196,2,0,0.257235276496404,1
"GO:0008219","cell death","BP",1436,9,6,0.285395094262278,0.00367650418939948
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","BP",111,0,2,1,0.00773008114238626
"GO:0008283","cell population proliferation","BP",1345,6,5,0.684050525829112,0.0156709820647951
"GO:0008284","positive regulation of cell population proliferation","BP",663,3,3,0.655185419378023,0.0421787052813322
"GO:0009056","catabolic process","BP",1459,2,3,0.996696304074179,0.259358490021208
"GO:0009058","biosynthetic process","BP",3282,16,5,0.60868492063653,0.37184817496563
"GO:0009112","nucleobase metabolic process","BP",30,0,0,1,1
"GO:0009113","purine nucleobase biosynthetic process","BP",10,0,0,1,1
"GO:0009116","nucleoside metabolic process","BP",60,0,0,1,1
